sessionId,gameType,deviceType,durationMs,totalMoves,totalClicks,avgSpeed,maxSpeed,medianSpeed,speedStd,speedP95,avgAccel,maxAccel,accelStd,jerkStd,avgJerk,numDirectionChanges,directionChangeRate,smallJitterRatio,pathEfficiency,totalDistance,numPausesOver200ms,pauseTimeRatio,avgPauseDuration,overshootEvents,clickAccuracy,avgClickDistance,controlSmoothnessScore,curvatureVariance,avgInterMoveTime,interMoveTimeStd
"train_0","bubble-pop","mouse",8687.059000218283,395,3,183.88467090820396,1799.884525711476,166.20575966558096,174.29034989426583,326.9329364218904,7940.169734981274,107701.07348514987,13429.028344574104,783465.7083640754,391133.50876962993,358,41.21072505562635,0.2875318066157761,0.46168132649986493,1233.8663587342244,7,0.2537427904447453,314.48192917692234,189,0.6666666666666666,0,0.024929355891190275,0,22.01931486112894,41.27486746200843
"train_1","bubble-pop","mouse",14315.975902233475,510,7,168.13776258719065,974.8980393305842,154.58872289654184,116.29387857421138,309.4200745756156,6433.40668871191,59370.085691522654,7898.927790868633,457403.8811297659,327900.9059983047,462,32.27163856345428,0.34448818897637795,0.25495877960515595,1455.2950765750818,17,0.4287739718458141,362.07366846610984,258,0.8571428571428571,0,0.029594475251422336,0,28.203283116309553,63.48539945142807
"train_2","mini-golf","touch",8500.743125547959,299,5,203.8338049890591,1750.1694843763505,171.9732011624987,228.5721687614082,355.1467385631875,10224.685178629794,101796.70400115287,17963.286512253937,1058865.5748502172,541576.190838843,268,31.52665549845381,0.28619528619528617,0.46126936790960393,1041.106468560433,9,0.43161497780470404,406.912614704652,154,0.6,0,0.018129861596802965,0,28.472846836817272,67.87885008922599
"train_3","mini-golf","touch",13720.779800266379,435,5,172.27179888025614,1187.7118403202212,153.27290054861544,143.35400882840767,318.7834021805059,7525.007604608135,75252.36054063244,10970.176906177923,646787.8657792469,382843.705663778,392,28.56980475646068,0.3556581986143187,0.33945285127375785,1318.8528982396583,19,0.49754506412369204,359.178288032665,243,0.6,0,0.02545541612561475,0,31.603961594713095,72.25508382311371
"train_4","archery","trackpad",11707.829400376162,429,7,185.98700913099512,1312.3142708768514,162.72349554082797,168.32480417639658,331.347462633353,8431.187297702763,89475.04325451731,12825.537979140241,752829.4242060134,425477.6022345153,382,32.627738834982225,0.2857142857142857,0.4282415674343939,1380.4406170331536,14,0.4184746803093069,353.23243440118813,206,0.7142857142857143,0,0.022963293516562455,0,27.610587952068826,60.65025175469372
"train_5","archery","touch",9879.222504284538,325,4,197.90881426211723,2097.187790036351,157.7726261841242,233.25564307728055,360.0616101193344,10318.992803001815,147621.23440513012,19105.31349944155,1174341.1318963168,528542.7970347187,295,29.86064944605316,0.33436532507739936,0.4507072620890638,1092.0396421702992,13,0.4809496211544951,370.9488382722905,161,1,0,0.018568626402694854,0,30.946587811083123,72.46185259126717
"train_6","mini-golf","trackpad",7270.223208812711,261,5,196.65562052439157,1626.7783158407813,163.24754390617136,211.064305100919,350.4682190241785,9663.494389194917,99032.54553167804,15664.387214867878,946844.8776020558,486363.5916156354,232,31.910987233346248,0.27413127413127414,0.4472460925830034,868.7346261814804,11,0.45744210018098347,315.89061988662223,131,1,0,0.020146521962762343,0,29.215944802111128,62.9169324685232
"train_7","bubble-pop","trackpad",8009.000647207765,356,7,171.17843551467197,1416.761645297728,150.22678848641542,133.01884146765863,321.2803387673812,7014.409496487321,87405.2024154186,9626.768575828215,543714.5366906583,334486.00154803396,329,41.0787830457601,0.384180790960452,0.3216689312585475,1016.4126237978427,6,0.2769720639848482,369.6248247816793,179,0.7142857142857143,0,0.029028755755132307,0,22.555271630199126,47.49122997968465
"train_8","mini-golf","mouse",10678.332154895737,451,4,178.6396636083514,1873.6582819873108,159.64896337751975,147.63920480949236,316.2249855603588,7483.080063617883,116332.91008915321,11058.576928301305,653306.6297806182,357953.6997071464,417,39.05104223685497,0.2962138084632517,0.3739800677059995,1373.5594797068507,10,0.313551357324382,334.5572142777713,239,0.25,0,0.027177332387088304,0,23.710963413361476,48.653209832656515
"train_9","mini-golf","trackpad",11942.605501767624,491,3,166.41447678942427,941.9668987239858,153.55968234514313,107.05938469105232,302.589617889038,5911.116955796417,58456.05203329235,7040.01634822541,399052.0451234319,284102.18396666745,450,37.68021977560889,0.3824130879345603,0.2770042349982369,1388.559146158957,11,0.32922560105153775,356.9449892462198,265,0,0,0.034001787627436886,0,24.33908770582634,51.7182075555017
"train_10","archery","touch",9890.009873808522,398,9,171.21356240042184,1395.7508011973941,148.92817737454197,141.76877402776475,311.1337388160711,7179.407303963235,96560.48954702778,10888.317161153818,653339.1385949925,363552.96350210544,360,36.40036810816331,0.3787878787878788,0.33069554052272215,1156.2330545851214,10,0.3600152839252821,363.0720710841778,191,0.7777777777777778,0,0.02676996564623324,0,25.40278879005336,55.48147761793925
